Sensor,Sensor ID,Hour,Pedestrian_Count,Hour_24,Time_Period,Location_Type
114 Flinders St,91,Midnight,252.0,0,Night,Mixed Use
Birrarung Marr East - Batman Ave Bridge Entry,92,Midnight,6.0,0,Night,Outdoor
474 Flinders St,141,Midnight,213.0,0,Night,Mixed Use
Hamer Hall - River Side,142,Midnight,10.0,0,Night,Public Building
Cnr Bourke St and Harbour Esplanade,137,Midnight,0.0,0,Night,Mixed Use
Flinders Walk - Sandridge Bridge,139,Midnight,28.0,0,Night,Outdoor
Birrarung Marr - Federation Bridge,136,Midnight,57.0,0,Night,Outdoor
Boyd Park,140,Midnight,0.0,0,Night,Outdoor
I-Hub 892 Bourke Street,130,Midnight,0.0,0,Night,Mixed Use
510 Elizabeth St,83,Midnight,0.0,0,Night,Mixed Use
512 Elizabeth St,82,Midnight,0.0,0,Night,Mixed Use
514 Elizabeth St,158,Midnight,0.0,0,Night,Mixed Use
516 Elizabeth St,159,Midnight,0.0,0,Night,Mixed Use
Batman Park,160,Midnight,101.0,0,Night,Outdoor
City Baths,161,Midnight,8.0,0,Night,Mixed Use
Birrarung Marr – COM Pole 1109,0,Midnight,259.0,0,Night,Mixed Use
I-Hub Corner of King Street and Latrobe Street,132,Midnight,44.0,0,Night,Mixed Use
I-Hub 489 Elizabeth Street,162,Midnight,79.0,0,Night,Mixed Use
I-Hub 526 La Trobe Street,164,Midnight,31.0,0,Night,Mixed Use
475 Spencer Street,165,Midnight,15.0,0,Night,Mixed Use
484 Spencer Street,166,Midnight,2.0,0,Night,Mixed Use
,,Midnight,0.0,0,Night,Unknown
,,Midnight,0.0,0,Night,Unknown
Average Hourly Pedestrian Counts for Friday over the past 4 weeks. ,,Midnight,0.0,0,Night,Mixed Use
Sensor,Sensor ID,Midnight,0.0,0,Night,Mixed Use
Bourke Street Mall (North),1,Midnight,63.0,0,Night,Retail
Bourke Street Mall (South),2,Midnight,69.0,0,Night,Retail
Melbourne Central,3,Midnight,218.0,0,Night,Transport Hub
Town Hall (West),4,Midnight,221.0,0,Night,Public Building
Princes Bridge,5,Midnight,209.0,0,Night,Outdoor
Flinders Street Station Underpass,6,Midnight,258.0,0,Night,Transport Hub
Birrarung Marr,7,Midnight,0.0,0,Night,Mixed Use
Webb Bridge,8,Midnight,4.0,0,Night,Outdoor
Southern Cross Station,9,Midnight,23.0,0,Night,Transport Hub
Victoria Point,10,Midnight,8.0,0,Night,Mixed Use
Waterfront City,11,Midnight,12.0,0,Night,Mixed Use
New Quay,12,Midnight,45.0,0,Night,Mixed Use
Sandridge Bridge,14,Midnight,117.0,0,Night,Outdoor
Collins Place (South),17,Midnight,19.0,0,Night,Mixed Use
Collins Place (North),18,Midnight,8.0,0,Night,Mixed Use
Chinatown-Swanston St (North),19,Midnight,214.0,0,Night,Mixed Use
Chinatown-Lt Bourke St (South),20,Midnight,143.0,0,Night,Mixed Use
Bourke St-Russell St (West),21,Midnight,155.0,0,Night,Mixed Use
Flinders St-Elizabeth St (East),22,Midnight,181.0,0,Night,Mixed Use
Spencer St-Collins St (South),23,Midnight,40.0,0,Night,Mixed Use
Spencer St-Collins St (North),24,Midnight,144.0,0,Night,Mixed Use
Melbourne Convention Exhibition Centre,25,Midnight,86.0,0,Night,Mixed Use
QV Market-Elizabeth St (West),26,Midnight,0.0,0,Night,Mixed Use
QV Market-Peel St,27,Midnight,27.0,0,Night,Mixed Use
The Arts Centre,28,Midnight,45.0,0,Night,Mixed Use
St Kilda Rd-Alexandra Gardens,29,Midnight,52.0,0,Night,Mixed Use
Lonsdale St (South),30,Midnight,222.0,0,Night,Mixed Use
Lygon St (West),31,Midnight,48.0,0,Night,Mixed Use
Southbank,35,Midnight,351.0,0,Night,Mixed Use
Queen St (West),36,Midnight,47.0,0,Night,Mixed Use
Lygon St (East),37,Midnight,45.0,0,Night,Mixed Use
Alfred Place,39,Midnight,0.0,0,Night,Mixed Use
Lonsdale St-Spring St (West),40,Midnight,25.0,0,Night,Mixed Use
Grattan St-Swanston St (West),42,Midnight,8.0,0,Night,Mixed Use
Monash Rd-Swanston St (West),43,Midnight,3.0,0,Night,Mixed Use
Tin Alley-Swanston St (West),44,Midnight,1.0,0,Night,Mixed Use
Little Collins St-Swanston St (East),45,Midnight,133.0,0,Night,Mixed Use
Flinders La-Swanston St (West),41,Midnight,319.0,0,Night,Mixed Use
Pelham St (South),46,Midnight,0.0,0,Night,Mixed Use
Melbourne Central-Elizabeth St (East),47,Midnight,186.0,0,Night,Transport Hub
QVM-Queen St (East),48,Midnight,0.0,0,Night,Mixed Use
QVM-Therry St (South),49,Midnight,84.0,0,Night,Mixed Use
Faraday St-Lygon St (West),50,Midnight,16.0,0,Night,Mixed Use
QVM-Franklin St (North),51,Midnight,28.0,0,Night,Mixed Use
Elizabeth St-Lonsdale St (South),52,Midnight,101.0,0,Night,Mixed Use
Collins St (North),53,Midnight,47.0,0,Night,Mixed Use
Lincoln-Swanston (West),54,Midnight,17.0,0,Night,Mixed Use
Lonsdale St - Elizabeth St (North),56,Midnight,93.0,0,Night,Mixed Use
Bourke St Bridge,57,Midnight,0.0,0,Night,Outdoor
Bourke St - Spencer St (North),58,Midnight,153.0,0,Night,Mixed Use
RMIT Building 80,59,Midnight,81.0,0,Night,Mixed Use
RMIT Building 14,61,Midnight,77.0,0,Night,Mixed Use
Elizabeth St-La Trobe St (East),55,Midnight,0.0,0,Night,Mixed Use
La Trobe St (North),62,Midnight,70.0,0,Night,Mixed Use
231 Bourke St,63,Midnight,65.0,0,Night,Mixed Use
Royal Pde - Grattan St,64,Midnight,0.0,0,Night,Mixed Use
Swanston St - City Square,65,Midnight,0.0,0,Night,Mixed Use
State Library- New,66,Midnight,157.0,0,Night,Mixed Use
Flinders Ln -Degraves St (South),67,Midnight,33.0,0,Night,Mixed Use
Flinders Ln -Degraves St (North),68,Midnight,4.0,0,Night,Mixed Use
Flinders Ln -Degraves St (Crossing),69,Midnight,3.0,0,Night,Mixed Use
Errol Street (East),70,Midnight,8.0,0,Night,Mixed Use
Westwood Place,71,Midnight,5.0,0,Night,Mixed Use
Flinders St- ACMI,72,Midnight,39.0,0,Night,Mixed Use
Bourke St - Spencer St (South),73,Midnight,0.0,0,Night,Mixed Use
Spring St- Flinders St (West),75,Midnight,3.0,0,Night,Mixed Use
Macaulay Rd-Bellair St,76,Midnight,2.0,0,Night,Mixed Use
Harbour Esplanade (West) - Pedestrian Path,77,Midnight,37.0,0,Night,Mixed Use
Harbour Esplanade (West) - Bike Path,78,Midnight,12.0,0,Night,Mixed Use
Flinders St (South),79,Midnight,160.0,0,Night,Mixed Use
Elizabeth St - Flinders St (East) - New footpath,84,Midnight,181.0,0,Night,Mixed Use
Macaulay Rd (North),85,Midnight,3.0,0,Night,Mixed Use
Queensberry St - Errol St (South),86,Midnight,5.0,0,Night,Mixed Use
Errol St (West),87,Midnight,5.0,0,Night,Mixed Use
Flagstaff station (East),88,Midnight,41.0,0,Night,Transport Hub
William St - Little Lonsdale St (West),89,Midnight,66.0,0,Night,Mixed Use
La Trobe St - William St (South),90,Midnight,55.0,0,Night,Mixed Use
114 Flinders St,91,Midnight,71.0,0,Night,Mixed Use
Birrarung Marr East - Batman Ave Bridge Entry,92,Midnight,0.0,0,Night,Outdoor
474 Flinders St,141,Midnight,73.0,0,Night,Mixed Use
Hamer Hall - River Side,142,Midnight,4.0,0,Night,Public Building
Cnr Bourke St and Harbour Esplanade,137,Midnight,0.0,0,Night,Mixed Use
Flinders Walk - Sandridge Bridge,139,Midnight,12.0,0,Night,Outdoor
Birrarung Marr - Federation Bridge,136,Midnight,4.0,0,Night,Outdoor
Boyd Park,140,Midnight,0.0,0,Night,Outdoor
I-Hub 892 Bourke Street,130,Midnight,0.0,0,Night,Mixed Use
510 Elizabeth St,83,Midnight,0.0,0,Night,Mixed Use
512 Elizabeth St,82,Midnight,0.0,0,Night,Mixed Use
514 Elizabeth St,158,Midnight,0.0,0,Night,Mixed Use
516 Elizabeth St,159,Midnight,0.0,0,Night,Mixed Use
Batman Park,160,Midnight,123.0,0,Night,Outdoor
City Baths,161,Midnight,0.0,0,Night,Mixed Use
Birrarung Marr – COM Pole 1109,0,Midnight,2.0,0,Night,Mixed Use
I-Hub Corner of King Street and Latrobe Street,132,Midnight,68.0,0,Night,Mixed Use
I-Hub 489 Elizabeth Street,162,Midnight,80.0,0,Night,Mixed Use
I-Hub 526 La Trobe Street,164,Midnight,40.0,0,Night,Mixed Use
475 Spencer Street,165,Midnight,10.0,0,Night,Mixed Use
484 Spencer Street,166,Midnight,4.0,0,Night,Mixed Use
,,Midnight,0.0,0,Night,Unknown
,,Midnight,0.0,0,Night,Unknown
Average Hourly Pedestrian Counts for Friday over the past 52 weeks. ,,Midnight,0.0,0,Night,Mixed Use
Sensor,Sensor ID,Midnight,0.0,0,Night,Mixed Use
Bourke Street Mall (North),1,Midnight,73.0,0,Night,Retail
Bourke Street Mall (South),2,Midnight,61.0,0,Night,Retail
Melbourne Central,3,Midnight,337.0,0,Night,Transport Hub
Town Hall (West),4,Midnight,171.0,0,Night,Public Building
Princes Bridge,5,Midnight,144.0,0,Night,Outdoor
Flinders Street Station Underpass,6,Midnight,219.0,0,Night,Transport Hub
Birrarung Marr,7,Midnight,11.0,0,Night,Mixed Use
Webb Bridge,8,Midnight,7.0,0,Night,Outdoor
Southern Cross Station,9,Midnight,19.0,0,Night,Transport Hub
Victoria Point,10,Midnight,7.0,0,Night,Mixed Use
Waterfront City,11,Midnight,7.0,0,Night,Mixed Use
New Quay,12,Midnight,31.0,0,Night,Mixed Use
Sandridge Bridge,14,Midnight,71.0,0,Night,Outdoor
Collins Place (South),17,Midnight,34.0,0,Night,Mixed Use
Collins Place (North),18,Midnight,3.0,0,Night,Mixed Use
Chinatown-Swanston St (North),19,Midnight,189.0,0,Night,Mixed Use
Chinatown-Lt Bourke St (South),20,Midnight,182.0,0,Night,Mixed Use
Bourke St-Russell St (West),21,Midnight,159.0,0,Night,Mixed Use
Flinders St-Elizabeth St (East),22,Midnight,187.0,0,Night,Mixed Use
Spencer St-Collins St (South),23,Midnight,50.0,0,Night,Mixed Use
Spencer St-Collins St (North),24,Midnight,166.0,0,Night,Mixed Use
Melbourne Convention Exhibition Centre,25,Midnight,67.0,0,Night,Mixed Use
QV Market-Elizabeth St (West),26,Midnight,0.0,0,Night,Mixed Use
QV Market-Peel St,27,Midnight,26.0,0,Night,Mixed Use
The Arts Centre,28,Midnight,37.0,0,Night,Mixed Use
St Kilda Rd-Alexandra Gardens,29,Midnight,40.0,0,Night,Mixed Use
Lonsdale St (South),30,Midnight,251.0,0,Night,Mixed Use
Lygon St (West),31,Midnight,31.0,0,Night,Mixed Use
Southbank,35,Midnight,250.0,0,Night,Mixed Use
Queen St (West),36,Midnight,56.0,0,Night,Mixed Use
Lygon St (East),37,Midnight,31.0,0,Night,Mixed Use
Alfred Place,39,Midnight,10.0,0,Night,Mixed Use
Lonsdale St-Spring St (West),40,Midnight,26.0,0,Night,Mixed Use
Grattan St-Swanston St (West),42,Midnight,14.0,0,Night,Mixed Use
Monash Rd-Swanston St (West),43,Midnight,14.0,0,Night,Mixed Use
Tin Alley-Swanston St (West),44,Midnight,5.0,0,Night,Mixed Use
Little Collins St-Swanston St (East),45,Midnight,140.0,0,Night,Mixed Use
Flinders La-Swanston St (West),41,Midnight,208.0,0,Night,Mixed Use
Pelham St (South),46,Midnight,7.0,0,Night,Mixed Use
Melbourne Central-Elizabeth St (East),47,Midnight,189.0,0,Night,Transport Hub
QVM-Queen St (East),48,Midnight,30.0,0,Night,Mixed Use
QVM-Therry St (South),49,Midnight,112.0,0,Night,Mixed Use
Faraday St-Lygon St (West),50,Midnight,14.0,0,Night,Mixed Use
QVM-Franklin St (North),51,Midnight,31.0,0,Night,Mixed Use
Elizabeth St-Lonsdale St (South),52,Midnight,92.0,0,Night,Mixed Use
Collins St (North),53,Midnight,57.0,0,Night,Mixed Use
Lincoln-Swanston (West),54,Midnight,45.0,0,Night,Mixed Use
Lonsdale St - Elizabeth St (North),56,Midnight,76.0,0,Night,Mixed Use
Bourke St Bridge,57,Midnight,0.0,0,Night,Outdoor
Bourke St - Spencer St (North),58,Midnight,140.0,0,Night,Mixed Use
RMIT Building 80,59,Midnight,112.0,0,Night,Mixed Use
RMIT Building 14,61,Midnight,88.0,0,Night,Mixed Use
Elizabeth St-La Trobe St (East),55,Midnight,43.0,0,Night,Mixed Use
La Trobe St (North),62,Midnight,116.0,0,Night,Mixed Use
231 Bourke St,63,Midnight,88.0,0,Night,Mixed Use
Royal Pde - Grattan St,64,Midnight,0.0,0,Night,Mixed Use
Swanston St - City Square,65,Midnight,67.0,0,Night,Mixed Use
State Library- New,66,Midnight,159.0,0,Night,Mixed Use
Flinders Ln -Degraves St (South),67,Midnight,49.0,0,Night,Mixed Use
Flinders Ln -Degraves St (North),68,Midnight,3.0,0,Night,Mixed Use
Flinders Ln -Degraves St (Crossing),69,Midnight,4.0,0,Night,Mixed Use
Errol Street (East),70,Midnight,7.0,0,Night,Mixed Use
Westwood Place,71,Midnight,13.0,0,Night,Mixed Use
Flinders St- ACMI,72,Midnight,57.0,0,Night,Mixed Use
Bourke St - Spencer St (South),73,Midnight,0.0,0,Night,Mixed Use
Spring St- Flinders St (West),75,Midnight,3.0,0,Night,Mixed Use
Macaulay Rd-Bellair St,76,Midnight,1.0,0,Night,Mixed Use
Harbour Esplanade (West) - Pedestrian Path,77,Midnight,17.0,0,Night,Mixed Use
Harbour Esplanade (West) - Bike Path,78,Midnight,9.0,0,Night,Mixed Use
Flinders St (South),79,Midnight,136.0,0,Night,Mixed Use
Elizabeth St - Flinders St (East) - New footpath,84,Midnight,187.0,0,Night,Mixed Use
Macaulay Rd (North),85,Midnight,3.0,0,Night,Mixed Use
Queensberry St - Errol St (South),86,Midnight,3.0,0,Night,Mixed Use
Errol St (West),87,Midnight,8.0,0,Night,Mixed Use
Flagstaff station (East),88,Midnight,26.0,0,Night,Transport Hub
William St - Little Lonsdale St (West),89,Midnight,48.0,0,Night,Mixed Use
La Trobe St - William St (South),90,Midnight,47.0,0,Night,Mixed Use
114 Flinders St,91,Midnight,60.0,0,Night,Mixed Use
Birrarung Marr East - Batman Ave Bridge Entry,92,Midnight,0.0,0,Night,Outdoor
474 Flinders St,141,Midnight,62.0,0,Night,Mixed Use
Hamer Hall - River Side,142,Midnight,14.0,0,Night,Public Building
Cnr Bourke St and Harbour Esplanade,137,Midnight,0.0,0,Night,Mixed Use
Flinders Walk - Sandridge Bridge,139,Midnight,9.0,0,Night,Outdoor
Birrarung Marr - Federation Bridge,136,Midnight,2.0,0,Night,Outdoor
Boyd Park,140,Midnight,0.0,0,Night,Outdoor
I-Hub 892 Bourke Street,130,Midnight,0.0,0,Night,Mixed Use
I-Hub Corner of King Street and Latrobe Street,132,Midnight,58.0,0,Night,Mixed Use
Bourke Street Mall (North),1,Midnight,177.0,0,Night,Retail
Bourke Street Mall (South),2,Midnight,169.0,0,Night,Retail
Melbourne Central,3,Midnight,693.0,0,Night,Transport Hub
Town Hall (West),4,Midnight,617.0,0,Night,Public Building
Princes Bridge,5,Midnight,394.0,0,Night,Outdoor
Flinders Street Station Underpass,6,Midnight,669.0,0,Night,Transport Hub
Webb Bridge,8,Midnight,8.0,0,Night,Outdoor
Southern Cross Station,9,Midnight,41.0,0,Night,Transport Hub
Victoria Point,10,Midnight,8.0,0,Night,Mixed Use
Waterfront City,11,Midnight,30.0,0,Night,Mixed Use
New Quay,12,Midnight,92.0,0,Night,Mixed Use
Sandridge Bridge,14,Midnight,245.0,0,Night,Outdoor
Collins Place (South),17,Midnight,52.0,0,Night,Mixed Use
Collins Place (North),18,Midnight,23.0,0,Night,Mixed Use
Chinatown-Lt Bourke St (South),20,Midnight,1042.0,0,Night,Mixed Use
Bourke St-Russell St (West),21,Midnight,383.0,0,Night,Mixed Use
Flinders St-Elizabeth St (East),22,Midnight,424.0,0,Night,Mixed Use
Spencer St-Collins St (South),23,Midnight,51.0,0,Night,Mixed Use
Spencer St-Collins St (North),24,Midnight,279.0,0,Night,Mixed Use
Melbourne Convention Exhibition Centre,25,Midnight,150.0,0,Night,Mixed Use
QV Market-Elizabeth St (West),26,Midnight,0.0,0,Night,Mixed Use
QV Market-Peel St,27,Midnight,56.0,0,Night,Mixed Use
The Arts Centre,28,Midnight,122.0,0,Night,Mixed Use
St Kilda Rd-Alexandra Gardens,29,Midnight,108.0,0,Night,Mixed Use
Lonsdale St (South),30,Midnight,713.0,0,Night,Mixed Use
Lygon St (West),31,Midnight,147.0,0,Night,Mixed Use
Southbank,35,Midnight,791.0,0,Night,Mixed Use
Queen St (West),36,Midnight,170.0,0,Night,Mixed Use
Lygon St (East),37,Midnight,138.0,0,Night,Mixed Use
Alfred Place,39,Midnight,2.0,0,Night,Mixed Use
Lonsdale St-Spring St (West),40,Midnight,59.0,0,Night,Mixed Use
Grattan St-Swanston St (West),42,Midnight,29.0,0,Night,Mixed Use
Monash Rd-Swanston St (West),43,Midnight,14.0,0,Night,Mixed Use
Tin Alley-Swanston St (West),44,Midnight,4.0,0,Night,Mixed Use
Little Collins St-Swanston St (East),45,Midnight,353.0,0,Night,Mixed Use
Flinders La-Swanston St (West),41,Midnight,830.0,0,Night,Mixed Use
Pelham St (South),46,Midnight,1.0,0,Night,Mixed Use
Melbourne Central-Elizabeth St (East),47,Midnight,346.0,0,Night,Transport Hub
QVM-Queen St (East),48,Midnight,0.0,0,Night,Mixed Use
QVM-Therry St (South),49,Midnight,107.0,0,Night,Mixed Use
Faraday St-Lygon St (West),50,Midnight,55.0,0,Night,Mixed Use
QVM-Franklin St (North),51,Midnight,27.0,0,Night,Mixed Use
Elizabeth St-Lonsdale St (South),52,Midnight,375.0,0,Night,Mixed Use
Collins St (North),53,Midnight,109.0,0,Night,Mixed Use
Lincoln-Swanston (West),54,Midnight,36.0,0,Night,Mixed Use
Lonsdale St - Elizabeth St (North),56,Midnight,191.0,0,Night,Mixed Use
Bourke St Bridge,57,Midnight,0.0,0,Night,Outdoor
Bourke St - Spencer St (North),58,Midnight,176.0,0,Night,Mixed Use
RMIT Building 80,59,Midnight,133.0,0,Night,Mixed Use
RMIT Building 14,61,Midnight,128.0,0,Night,Mixed Use
La Trobe St (North),62,Midnight,116.0,0,Night,Mixed Use
231 Bourke St,63,Midnight,81.0,0,Night,Mixed Use
State Library- New,66,Midnight,400.0,0,Night,Mixed Use
Flinders Ln -Degraves St (South),67,Midnight,141.0,0,Night,Mixed Use
Flinders Ln -Degraves St (North),68,Midnight,64.0,0,Night,Mixed Use
Flinders Ln -Degraves St (Crossing),69,Midnight,34.0,0,Night,Mixed Use
Errol Street (East),70,Midnight,10.0,0,Night,Mixed Use
Westwood Place,71,Midnight,19.0,0,Night,Mixed Use
Flinders St- ACMI,72,Midnight,73.0,0,Night,Mixed Use
Spring St- Flinders St (West),75,Midnight,9.0,0,Night,Mixed Use
Macaulay Rd-Bellair St,76,Midnight,2.0,0,Night,Mixed Use
Harbour Esplanade (West) - Pedestrian Path,77,Midnight,47.0,0,Night,Mixed Use
Harbour Esplanade (West) - Bike Path,78,Midnight,5.0,0,Night,Mixed Use
Flinders St (South),79,Midnight,331.0,0,Night,Mixed Use
Elizabeth St - Flinders St (East) - New footpath,84,Midnight,424.0,0,Night,Mixed Use
Macaulay Rd (North),85,Midnight,11.0,0,Night,Mixed Use
Queensberry St - Errol St (South),86,Midnight,3.0,0,Night,Mixed Use
Errol St (West),87,Midnight,19.0,0,Night,Mixed Use
Flagstaff station (East),88,Midnight,66.0,0,Night,Transport Hub
William St - Little Lonsdale St (West),89,Midnight,108.0,0,Night,Mixed Use
La Trobe St - William St (South),90,Midnight,59.0,0,Night,Mixed Use
114 Flinders St,91,Midnight,111.0,0,Night,Mixed Use
Birrarung Marr East - Batman Ave Bridge Entry,92,Midnight,3.0,0,Night,Outdoor
474 Flinders St,141,Midnight,178.0,0,Night,Mixed Use
Hamer Hall - River Side,142,Midnight,9.0,0,Night,Public Building
Cnr Bourke St and Harbour Esplanade,137,Midnight,0.0,0,Night,Mixed Use
Flinders Walk - Sandridge Bridge,139,Midnight,22.0,0,Night,Outdoor
Birrarung Marr - Federation Bridge,136,Midnight,9.0,0,Night,Outdoor
Boyd Park,140,Midnight,0.0,0,Night,Outdoor
I-Hub 892 Bourke Street,130,Midnight,2.0,0,Night,Mixed Use
510 Elizabeth St,83,Midnight,0.0,0,Night,Mixed Use
512 Elizabeth St,82,Midnight,0.0,0,Night,Mixed Use
514 Elizabeth St,158,Midnight,0.0,0,Night,Mixed Use
516 Elizabeth St,159,Midnight,0.0,0,Night,Mixed Use
Batman Park,160,Midnight,148.0,0,Night,Outdoor
City Baths,161,Midnight,6.0,0,Night,Mixed Use
Birrarung Marr – COM Pole 1109,0,Midnight,0.0,0,Night,Mixed Use
I-Hub Corner of King Street and Latrobe Street,132,Midnight,98.0,0,Night,Mixed Use
I-Hub 489 Elizabeth Street,162,Midnight,111.0,0,Night,Mixed Use
I-Hub 526 La Trobe Street,164,Midnight,40.0,0,Night,Mixed Use
475 Spencer Street,165,Midnight,17.0,0,Night,Mixed Use
484 Spencer Street,166,Midnight,5.0,0,Night,Mixed Use
,,Midnight,0.0,0,Night,Unknown
,,Midnight,0.0,0,Night,Unknown
Average Hourly Pedestrian Counts for Saturday over the past 4 weeks. ,,Midnight,0.0,0,Night,Mixed Use
Sensor,Sensor ID,Midnight,0.0,0,Night,Mixed Use
Bourke Street Mall (North),1,Midnight,113.0,0,Night,Retail
Bourke Street Mall (South),2,Midnight,113.0,0,Night,Retail
Melbourne Central,3,Midnight,506.0,0,Night,Transport Hub
Town Hall (West),4,Midnight,493.0,0,Night,Public Building
Princes Bridge,5,Midnight,419.0,0,Night,Outdoor
Flinders Street Station Underpass,6,Midnight,544.0,0,Night,Transport Hub
Webb Bridge,8,Midnight,8.0,0,Night,Outdoor
Southern Cross Station,9,Midnight,25.0,0,Night,Transport Hub
Victoria Point,10,Midnight,14.0,0,Night,Mixed Use
Waterfront City,11,Midnight,28.0,0,Night,Mixed Use
New Quay,12,Midnight,76.0,0,Night,Mixed Use
Sandridge Bridge,14,Midnight,289.0,0,Night,Outdoor
Collins Place (South),17,Midnight,39.0,0,Night,Mixed Use
Collins Place (North),18,Midnight,9.0,0,Night,Mixed Use
